2025-08-06 07:39:40 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:40 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:40 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:40 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:40 | INFO | app.scraper.scraper:scrape_single_page:218 | ✅ Успешно извлечено 0 статей со страницы 3
2025-08-06 07:39:40 | WARNING | app.scraper.scraper:scrape_articles_with_pagination:247 | ⚠️ Страница 3 не содержит подходящих статей
2025-08-06 07:39:41 | INFO | __main__:main:35 | 🚀 Запуск Financial Times скрапера...
2025-08-06 07:39:41 | INFO | __main__:main:38 | 📊 Инициализация базы данных...
2025-08-06 07:39:41 | INFO | app.db.database:init_db:50 | ✅ База данных инициализирована
2025-08-06 07:39:41 | INFO | __main__:main:42 | ⏰ Запуск планировщика...
2025-08-06 07:39:41 | INFO | app.scheduler.scheduler:start:49 | ⚡ Запуск планировщика задач...
2025-08-06 07:39:41 | INFO | app.scraper.scraper:is_first_run:82 | 📊 Статей в базе: 1142, первый запуск: False
2025-08-06 07:39:41 | INFO | app.scheduler.scheduler:start:74 | 🔄 Обычный запуск - используем адаптивный режим...
2025-08-06 07:39:41 | INFO | app.scheduler.scheduler:adaptive_scrape_job:40 | 🤖 Запуск адаптивной задачи скрапинга...
2025-08-06 07:39:41 | INFO | app.scraper.scraper:run_scraping:347 | 🚀 Запуск скрапинга Financial Times...
2025-08-06 07:39:42 | INFO | app.scraper.scraper:init_browser:54 | 🌐 Браузер успешно инициализирован
2025-08-06 07:39:42 | INFO | app.scraper.scraper:is_first_run:82 | 📊 Статей в базе: 1142, первый запуск: False
2025-08-06 07:39:42 | INFO | app.scraper.scraper:run_scraping:365 | ⏰ Обычный запуск - собираем статьи за последний час...
2025-08-06 07:39:42 | INFO | app.scraper.scraper:scrape_articles_with_pagination:236 | 📚 Начинаем скрапинг с пагинацией (макс. 5 страниц)...
2025-08-06 07:39:42 | INFO | app.scraper.scraper:scrape_single_page:175 | 📄 Скрапинг страницы 1 (попытка 1/3): https://www.ft.com/world
2025-08-06 07:39:48 | INFO | app.scraper.scraper:scrape_single_page:206 | 🔍 Найдено 26 элементов статей на странице 1
2025-08-06 07:39:48 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:48 | INFO | app.scraper.scraper:scrape_single_page:218 | ✅ Успешно извлечено 1 статей со страницы 1
2025-08-06 07:39:49 | INFO | app.scraper.scraper:scrape_single_page:175 | 📄 Скрапинг страницы 2 (попытка 1/3): https://www.ft.com/world?page=2
2025-08-06 07:39:53 | INFO | app.scraper.scraper:scrape_single_page:206 | 🔍 Найдено 29 элементов статей на странице 2
2025-08-06 07:39:53 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:53 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:53 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:53 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:53 | INFO | app.scraper.scraper:scrape_single_page:218 | ✅ Успешно извлечено 0 статей со страницы 2
2025-08-06 07:39:53 | WARNING | app.scraper.scraper:scrape_articles_with_pagination:247 | ⚠️ Страница 2 не содержит подходящих статей
2025-08-06 07:39:54 | INFO | app.scraper.scraper:scrape_single_page:175 | 📄 Скрапинг страницы 3 (попытка 1/3): https://www.ft.com/world?page=3
2025-08-06 07:39:58 | INFO | app.scraper.scraper:scrape_single_page:206 | 🔍 Найдено 29 элементов статей на странице 3
2025-08-06 07:39:58 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:58 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:58 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:58 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:39:58 | INFO | app.scraper.scraper:scrape_single_page:218 | ✅ Успешно извлечено 0 статей со страницы 3
2025-08-06 07:39:58 | WARNING | app.scraper.scraper:scrape_articles_with_pagination:247 | ⚠️ Страница 3 не содержит подходящих статей
2025-08-06 07:39:59 | INFO | app.scraper.scraper:scrape_single_page:175 | 📄 Скрапинг страницы 4 (попытка 1/3): https://www.ft.com/world?page=4
2025-08-06 07:40:03 | INFO | app.scraper.scraper:scrape_single_page:206 | 🔍 Найдено 29 элементов статей на странице 4
2025-08-06 07:40:03 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:40:03 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:40:03 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:40:03 | WARNING | app.scraper.scraper:_extract_article_data:129 | ⚠️ Не найден заголовок статьи
2025-08-06 07:40:03 | INFO | app.scraper.scraper:scrape_single_page:218 | ✅ Успешно извлечено 0 статей со страницы 4
